street,city,state,zip_code,address_full
106 CLEOPATRA DR.,PLEASANT HILL,CA,94523.0,"106 CLEOPATRA DR., PLEASANT HILL, CA 94523, USA"
260 W MENLO,FRESNO,CA,93704.0,"260 W MENLO, FRESNO, CA 93704, USA"
5050 TEIXEIRA WAY,OAKLEY,CA,94561.0,"5050 TEIXEIRA WAY, OAKLEY, CA 94561, USA"
5582 E. SWIFT,FRESNO,CA,93727.0,"5582 E. SWIFT, FRESNO, CA 93727, USA"
1057 ECHO RD APT#1,SOUTH LAKE TAHOE,CA,96150.0,"1057 ECHO RD APT#1, SOUTH LAKE TAHOE, CA 96150, USA"
454 URBANO WAY,HAYWARD,CA,94544.0,"454 URBANO WAY, HAYWARD, CA 94544, USA"
11754 FLORAL AVE,SELMA,CA,93662.0,"11754 FLORAL AVE, SELMA, CA 93662, USA"
105 DOVER STREET APT. A,DELANO,CA,93215.0,"105 DOVER STREET APT. A, DELANO, CA 93215, USA"
12 EL PINTADO CT,PITTSBURG,CA,94565.0,"12 EL PINTADO CT, PITTSBURG, CA 94565, USA"
35575 CENTENO ROAD,FREMONT,CA,94536.0,"35575 CENTENO ROAD, FREMONT, CA 94536, USA"
205 JEFFREY ST,BAKERSFIELD,CA,93305.0,"205 JEFFREY ST, BAKERSFIELD, CA 93305, USA"
945 OHLONE AVE. #948,ALBANY,CA,94706.0,"945 OHLONE AVE. #948, ALBANY, CA 94706, USA"
3100 DURRWOOD STREET,BAKERSFIELD,CA,93304.0,"3100 DURRWOOD STREET, BAKERSFIELD, CA 93304, USA"
3818 CARRINGTON STREET #B,OAKLAND,CA,94601.0,"3818 CARRINGTON STREET #B, OAKLAND, CA 94601, USA"
1044 N. 18TH STREET,EL CENTRO,CA,92243.0,"1044 N. 18TH STREET, EL CENTRO, CA 92243, USA"
1216 PINE STREET,MARTINEZ,CA,94553.0,"1216 PINE STREET, MARTINEZ, CA 94553, USA"
129 ROCKWOOD AVE. PMB#43,CALEXICO,CA,92231.0,"129 ROCKWOOD AVE. PMB#43, CALEXICO, CA 92231, USA"
1010 E GARLAND AVE,FRESNO,CA,93704.0,"1010 E GARLAND AVE, FRESNO, CA 93704, USA"
15858 SANTA CLARA ST.,CANTUA CREEK,CA,93608.0,"15858 SANTA CLARA ST., CANTUA CREEK, CA 93608, USA"
1192 HAVEN COURT,CONCORD,CA,94520.0,"1192 HAVEN COURT, CONCORD, CA 94520, USA"
688 MORAGA DR.,LIVERMORE,CA,94550.0,"688 MORAGA DR., LIVERMORE, CA 94550, USA"
2183 W.TENNYSON RD. #102,HAYWARD,CA,94545.0,"2183 W.TENNYSON RD. #102, HAYWARD, CA 94545, USA"
533 B ST,TAFT,CA,93268.0,"533 B ST, TAFT, CA 93268, USA"
2865 SEVILLE CIRCLE,ANTIOCH,CA,94509.0,"2865 SEVILLE CIRCLE, ANTIOCH, CA 94509, USA"
"700 SO SHAFTER AVE.,SP #134",SHAFTER,CA,93263.0,"700 SO SHAFTER AVE.,SP #134, SHAFTER, CA 93263, USA"
1712 PAYNE DR.,ARVIN,CA,93203.0,"1712 PAYNE DR., ARVIN, CA 93203, USA"
1103 W. EDEN AVE.,FRESNO,CA,93706.0,"1103 W. EDEN AVE., FRESNO, CA 93706, USA"
1510 23RD AVENUE,OAKLAND,CA,94606.0,"1510 23RD AVENUE, OAKLAND, CA 94606, USA"
44777 RODEO GROUND LN,COARSEGOLD,CA,93614.0,"44777 RODEO GROUND LN, COARSEGOLD, CA 93614, USA"
3901 FAIRWAY AVE.,OAKLAND,CA,94605.0,"3901 FAIRWAY AVE., OAKLAND, CA 94605, USA"
881 EL CENTRO AVENUE.,EL CENTRO,CA,92243.0,"881 EL CENTRO AVENUE., EL CENTRO, CA 92243, USA"
495 SUPERIOR AVENUE,SAN LEANDRO,CA,94577.0,"495 SUPERIOR AVENUE, SAN LEANDRO, CA 94577, USA"
2366 S.POPPY,FRESNO,CA,93706.0,"2366 S.POPPY, FRESNO, CA 93706, USA"
7979 MACARTHUR BLVD #12,OAKLAND,CA,94605.0,"7979 MACARTHUR BLVD #12, OAKLAND, CA 94605, USA"
3524 BISSELL AVE,RICHMOND,CA,94805.0,"3524 BISSELL AVE, RICHMOND, CA 94805, USA"
1101 DEWITT,SANGER,CA,93657.0,"1101 DEWITT, SANGER, CA 93657, USA"
32167 CHAMPLAIN ST.,HAYWARD,CA,94544.0,"32167 CHAMPLAIN ST., HAYWARD, CA 94544, USA"
2587 TAHOE AVE.,HAYWARD,CA,94545.0,"2587 TAHOE AVE., HAYWARD, CA 94545, USA"
997 DAVIS AVE,MC FARLAND,CA,93250.0,"997 DAVIS AVE, MC FARLAND, CA 93250, USA"
2091 WEST OLIVE AVENUE,EL CENTRO,CA,92243.0,"2091 WEST OLIVE AVENUE, EL CENTRO, CA 92243, USA"
318 3RD STREET #B,CRESCENT CITY,CA,95531.0,"318 3RD STREET #B, CRESCENT CITY, CA 95531, USA"
"36 EAST SAGINAW AVENUE,APT.102",FRESNO,CA,93704.0,"36 EAST SAGINAW AVENUE,APT.102, FRESNO, CA 93704, USA"
2070 SHADY CREEK PL.,DANVILLE,CA,94526.0,"2070 SHADY CREEK PL., DANVILLE, CA 94526, USA"
1790 ELGIN ST,OROVILLE,CA,95965.0,"1790 ELGIN ST, OROVILLE, CA 95965, USA"
563 LEONA DRIVE,LIVERMORE,CA,94550.0,"563 LEONA DRIVE, LIVERMORE, CA 94550, USA"
310 TRAIL CREEK DR.,IMPERIAL,CA,92251.0,"310 TRAIL CREEK DR., IMPERIAL, CA 92251, USA"
1144 MAYWOOD LANE,MARTINEZ,CA,94553.0,"1144 MAYWOOD LANE, MARTINEZ, CA 94553, USA"
37332 ELM STREET #C,NEWARK,CA,94560.0,"37332 ELM STREET #C, NEWARK, CA 94560, USA"
17448 GARDEN SIDE,LOST HILLS,CA,93249.0,"17448 GARDEN SIDE, LOST HILLS, CA 93249, USA"
5307 STONE CANYON ST,BAKERSFIELD,CA,93306.0,"5307 STONE CANYON ST, BAKERSFIELD, CA 93306, USA"
289 W. SPRUCE,PINEDALE,CA,93650.0,"289 W. SPRUCE, PINEDALE, CA 93650, USA"
5376 EGGERS DR.,FREMONT,CA,94536.0,"5376 EGGERS DR., FREMONT, CA 94536, USA"
2428 NORTH JACKSON AVENUE,FRESNO,CA,93702.0,"2428 NORTH JACKSON AVENUE, FRESNO, CA 93702, USA"
"1612 OREGON ST.,APT #A",BAKERSFIELD,CA,93305.0,"1612 OREGON ST.,APT #A, BAKERSFIELD, CA 93305, USA"
5309 CHERRYTREE LN,BAKERSFIELD,CA,93309.0,"5309 CHERRYTREE LN, BAKERSFIELD, CA 93309, USA"
499 PACHECO #193,BAKERSFIELD,CA,93307.0,"499 PACHECO #193, BAKERSFIELD, CA 93307, USA"
442 W SUNSET BLVD,HAYWARD,CA,94541.0,"442 W SUNSET BLVD, HAYWARD, CA 94541, USA"
"1255 SOUTH WINERY,APT.202",FRESNO,CA,93727.0,"1255 SOUTH WINERY,APT.202, FRESNO, CA 93727, USA"
2600 DECOTO ROAD #30,UNION CITY,CA,94587.0,"2600 DECOTO ROAD #30, UNION CITY, CA 94587, USA"
2551 PEBBLE BEACH LOOP,LAFAYETTE,CA,94549.0,"2551 PEBBLE BEACH LOOP, LAFAYETTE, CA 94549, USA"
22818 VERMONT ST #33,HAYWARD,CA,94541.0,"22818 VERMONT ST #33, HAYWARD, CA 94541, USA"
407-6 OLYMPUS,HERCULES,CA,94547.0,"407-6 OLYMPUS, HERCULES, CA 94547, USA"
37732 CARRIAGE CIRCLE COMMON,FREMONT,CA,94536.0,"37732 CARRIAGE CIRCLE COMMON, FREMONT, CA 94536, USA"
1980 BOYNTON AVE.,MARTINEZ,CA,94553.0,"1980 BOYNTON AVE., MARTINEZ, CA 94553, USA"
325 SCOTTSDALE RD.,PLEASANT HILL,CA,94523.0,"325 SCOTTSDALE RD., PLEASANT HILL, CA 94523, USA"
530 D ST.,WASCO,CA,93280.0,"530 D ST., WASCO, CA 93280, USA"
36594 DEBORAH ST,NEWARK,CA,94560.0,"36594 DEBORAH ST, NEWARK, CA 94560, USA"
36614 CHARES ST,NEWARK,CA,94560.0,"36614 CHARES ST, NEWARK, CA 94560, USA"
1474 MARCLAIR DR # A,CONCORD,CA,94521.0,"1474 MARCLAIR DR # A, CONCORD, CA 94521, USA"
1230 SANFORD AVE # 4,SAN PABLO,CA,94806.0,"1230 SANFORD AVE # 4, SAN PABLO, CA 94806, USA"
1596 W HOLT AVE,EL CENTRO,CA,92243.0,"1596 W HOLT AVE, EL CENTRO, CA 92243, USA"
4419 E. THOMAS,FRESNO,CA,93702.0,"4419 E. THOMAS, FRESNO, CA 93702, USA"
3819 VINEYARD AVE #88,PLEASANTON,CA,94566.0,"3819 VINEYARD AVE #88, PLEASANTON, CA 94566, USA"
36453 COLBERT ST,NEWARK,CA,94560.0,"36453 COLBERT ST, NEWARK, CA 94560, USA"
5636 CHESTNUT COMMON,FREMONT,CA,94538.0,"5636 CHESTNUT COMMON, FREMONT, CA 94538, USA"
3751 N. FORDHAM,FRESNO,CA,93727.0,"3751 N. FORDHAM, FRESNO, CA 93727, USA"
11792 BETLEN DRIVE,DUBLIN,CA,94568.0,"11792 BETLEN DRIVE, DUBLIN, CA 94568, USA"
908 SANTA ANA ST.,CALEXICO,CA,92231.0,"908 SANTA ANA ST., CALEXICO, CA 92231, USA"
336 N POPULAR AVE APT C,FRESNO,CA,93701.0,"336 N POPULAR AVE APT C, FRESNO, CA 93701, USA"
265 E MANNING,REEDLEY,CA,93654.0,"265 E MANNING, REEDLEY, CA 93654, USA"
2715 MARTIN L KING APT 169,FRESNO,CA,93706.0,"2715 MARTIN L KING APT 169, FRESNO, CA 93706, USA"
2674 ACORN STREET,CASTRO VALLEY,CA,94546.0,"2674 ACORN STREET, CASTRO VALLEY, CA 94546, USA"
